# tau(fm)  epsilon_p(ideal)(cos)  epsilon_p(ideal)(sin)  epsilon_p(shear)(cos)  epsilon_p(shear)(sin)  epsilon_p(full)(cos)  epsilon_p(full)(sin)  epsilon_2p(ideal)(cos)  epsilon_2p(ideal)(sin)  epsilon_2p(shear)(cos)  epsilon_2p(shear)(sin)  epsilon_2p(full)(cos)  epsilon_2p(full)(sin)  epsilon_3p(ideal)(cos)  epsilon_3p(ideal)(sin)  epsilon_3p(shear)(cos)  epsilon_3p(shear)(sin)  epsilon_3p(full)(cos)  epsilon_3p(full)(sin)  
    9.30000000e-01  -2.83782506e-02  6.81281681e-03  -8.08026266e-03  2.41826050e-03  -7.91224654e-03  2.37131242e-03  -9.69557085e-02  4.47149699e-02  -8.95915065e-02  4.20764590e-02  -9.12215008e-02  4.32376478e-02  2.05495718e-03  2.17152423e-02  4.13378272e-03  2.50016475e-02  6.67994495e-03  2.68570298e-02  
    9.35000000e-01  -2.82417718e-02  6.82117205e-03  -8.20195884e-03  2.44916738e-03  -8.03374071e-03  2.39981363e-03  -9.65643003e-02  4.45944173e-02  -8.93038275e-02  4.18971325e-02  -9.09885059e-02  4.30715847e-02  2.60897895e-03  2.17792036e-02  4.64660697e-03  2.50330204e-02  7.19541748e-03  2.69309861e-02  
    9.40000000e-01  -2.81042344e-02  6.83222299e-03  -8.31939445e-03  2.47980905e-03  -8.15228269e-03  2.42815794e-03  -9.61492870e-02  4.45073326e-02  -8.89930636e-02  4.17500325e-02  -9.07325129e-02  4.29379272e-02  3.16290106e-03  2.18180452e-02  5.15924783e-03  2.50472022e-02  7.70886130e-03  2.69872697e-02  
    9.45000000e-01  -2.79656032e-02  6.84556584e-03  -8.43233578e-03  2.50993059e-03  -8.26759253e-03  2.45629911e-03  -9.57137966e-02  4.44454272e-02  -8.86619459e-02  4.16259943e-02  -9.04564208e-02  4.28279946e-02  3.74814282e-03  2.18348181e-02  5.71595337e-03  2.50421954e-02  8.26540323e-03  2.70237974e-02  
    9.50000000e-01  -2.78259082e-02  6.86084477e-03  -8.54037321e-03  2.53939633e-03  -8.37925701e-03  2.48422671e-03  -9.52577613e-02  4.44060843e-02  -8.83088022e-02  4.15235261e-02  -9.01579995e-02  4.27408539e-02  4.31908662e-03  2.17644690e-02  6.26919111e-03  2.49544161e-02  8.81677975e-03  2.69758372e-02  
    9.55000000e-01  -2.76850436e-02  6.87791142e-03  -8.64288811e-03  2.56812534e-03  -8.48663053e-03  2.51168499e-03  -9.47954229e-02  4.43751881e-02  -8.79518508e-02  4.14320057e-02  -8.98561154e-02  4.26647689e-02  4.90060039e-03  2.16326921e-02  6.85400692e-03  2.47973742e-02  9.39842277e-03  2.68579820e-02  
    9.60000000e-01  -2.75430953e-02  6.89684306e-03  -8.73996934e-03  2.59622123e-03  -8.58958934e-03  2.53846952e-03  -9.43196701e-02  4.43575845e-02  -8.75856413e-02  4.13504986e-02  -8.95445012e-02  4.25980068e-02  5.50907414e-03  2.14585696e-02  7.46086256e-03  2.45999613e-02  1.00003497e-02  2.66983525e-02  
    9.65000000e-01  -2.74003071e-02  6.91727118e-03  -8.83258096e-03  2.62387518e-03  -8.68879218e-03  2.56468215e-03  -9.38225160e-02  4.43553824e-02  -8.71979280e-02  4.12827928e-02  -8.92098815e-02  4.25443818e-02  6.13147280e-03  2.12328467e-02  8.07532133e-03  2.43422336e-02  1.06087533e-02  2.64754975e-02  
    9.70000000e-01  -2.72569822e-02  6.93898597e-03  -8.92221234e-03  2.65151302e-03  -8.78541704e-03  2.59053641e-03  -9.32994928e-02  4.43587935e-02  -8.67829246e-02  4.12246139e-02  -8.88457782e-02  4.24992423e-02  6.77040192e-03  2.09522100e-02  8.69245246e-03  2.40345257e-02  1.12195493e-02  2.61997747e-02  
    9.75000000e-01  -2.71132655e-02  6.96186565e-03  -9.00954688e-03  2.67966786e-03  -8.88000724e-03  2.61630073e-03  -9.27450461e-02  4.43643485e-02  -8.63337122e-02  4.11703315e-02  -8.84447148e-02  4.24564066e-02  7.42916240e-03  2.06345673e-02  9.32805246e-03  2.36902116e-02  1.18485238e-02  2.58852029e-02  
    9.80000000e-01  -2.69692413e-02  6.98574643e-03  -9.09421258e-03  2.70874685e-03  -8.97218015e-03  2.64220086e-03  -9.21667487e-02  4.43793000e-02  -8.58556351e-02  4.11252395e-02  -8.80122305e-02  4.24212858e-02  8.09782475e-03  2.02989689e-02  9.97409979e-03  2.33316092e-02  1.24873862e-02  2.55545876e-02  
    9.85000000e-01  -2.68248992e-02  7.01035724e-03  -9.17593687e-03  2.73913405e-03  -9.06167885e-03  2.66855574e-03  -9.15692418e-02  4.43990534e-02  -8.53553323e-02  4.10858927e-02  -8.75551176e-02  4.23902665e-02  8.78963401e-03  1.99686939e-02  1.06515981e-02  2.29744022e-02  1.31576562e-02  2.52243405e-02  
    9.90000000e-01  -2.66801030e-02  7.03523043e-03  -9.25458396e-03  2.77088070e-03  -9.14844243e-03  2.69568393e-03  -9.09575446e-02  4.44142220e-02  -8.48412639e-02  4.10423754e-02  -8.70824811e-02  4.23535517e-02  9.49084901e-03  1.96495567e-02  1.13584741e-02  2.26254490e-02  1.38565063e-02  2.49027926e-02  
    9.95000000e-01  -2.65346762e-02  7.05942672e-03  -9.33015960e-03  2.80315601e-03  -9.23267091e-03  2.72331511e-03  -9.03264867e-02  4.44157702e-02  -8.43086008e-02  4.09798108e-02  -8.65896910e-02  4.22968985e-02  1.02205274e-02  1.93276173e-02  1.21027674e-02  2.22744862e-02  1.45934538e-02  2.45798439e-02  
    1.00000000e+00  -2.63885210e-02  7.08215117e-03  -9.40285184e-03  2.83543080e-03  -9.31457284e-03  2.75106051e-03  -8.96751486e-02  4.43968820e-02  -8.37527488e-02  4.08913772e-02  -8.60719632e-02  4.22133724e-02  1.09878225e-02  1.90016645e-02  1.28806540e-02  2.19244383e-02  1.53642842e-02  2.42590980e-02  
