# tau(fm)  epsilon_p(ideal)(cos)  epsilon_p(ideal)(sin)  epsilon_p(shear)(cos)  epsilon_p(shear)(sin)  epsilon_p(full)(cos)  epsilon_p(full)(sin)  epsilon_2p(ideal)(cos)  epsilon_2p(ideal)(sin)  epsilon_2p(shear)(cos)  epsilon_2p(shear)(sin)  epsilon_2p(full)(cos)  epsilon_2p(full)(sin)  epsilon_3p(ideal)(cos)  epsilon_3p(ideal)(sin)  epsilon_3p(shear)(cos)  epsilon_3p(shear)(sin)  epsilon_3p(full)(cos)  epsilon_3p(full)(sin)  
    6.75000000e-01  -2.89816336e-02  5.57679010e-03  3.73204704e-03  4.37350009e-04  2.44621541e-03  5.25537150e-04  -1.23772843e-01  5.03655454e-02  -1.11996257e-01  5.15840798e-02  -1.11589113e-01  5.12184961e-02  -3.17731202e-02  -1.56743568e-02  -2.91911022e-02  -9.90972159e-03  -2.90240646e-02  -1.09516824e-02  
    6.80000000e-01  -2.91368042e-02  5.67200354e-03  3.40644810e-03  4.81354551e-04  2.17307051e-03  5.63880014e-04  -1.23040205e-01  5.08817369e-02  -1.11407512e-01  5.20437633e-02  -1.11031545e-01  5.16999035e-02  -3.14132335e-02  -1.46736956e-02  -2.87813810e-02  -8.93959180e-03  -2.85489827e-02  -9.96438262e-03  
    6.85000000e-01  -2.92879896e-02  5.76237263e-03  3.08182387e-03  5.25123745e-04  1.90000135e-03  6.01882304e-04  -1.22365192e-01  5.13850965e-02  -1.10865248e-01  5.24830218e-02  -1.10520401e-01  5.21618738e-02  -3.11975312e-02  -1.37290303e-02  -2.84809639e-02  -7.98608839e-03  -2.81823071e-02  -8.99182392e-03  
    6.90000000e-01  -2.94351106e-02  5.84836894e-03  2.75929336e-03  5.69291973e-04  1.62801415e-03  6.40154956e-04  -1.21740645e-01  5.18292714e-02  -1.10363963e-01  5.28639768e-02  -1.10050699e-01  5.25675658e-02  -3.10252685e-02  -1.27399089e-02  -2.82739133e-02  -7.00178807e-03  -2.79070095e-02  -7.98650936e-03  
    6.95000000e-01  -2.95778811e-02  5.93038160e-03  2.43930294e-03  6.14935121e-04  1.35752196e-03  6.79679917e-04  -1.21180589e-01  5.22381970e-02  -1.09911604e-01  5.31979822e-02  -1.09629907e-01  5.29280717e-02  -3.08484967e-02  -1.17835497e-02  -2.80466745e-02  -6.03382072e-03  -2.76160542e-02  -6.99355816e-03  
    7.00000000e-01  -2.97162309e-02  6.00878220e-03  2.12150513e-03  6.62361816e-04  1.08822120e-03  7.20799463e-04  -1.20616735e-01  5.26367997e-02  -1.09461514e-01  5.35357416e-02  -1.09211533e-01  5.32914042e-02  -3.07892349e-02  -1.08898672e-02  -2.78983668e-02  -5.13999962e-03  -2.74052119e-02  -6.06836413e-03  
    7.05000000e-01  -2.98497363e-02  6.08399584e-03  1.80615453e-03  7.11411789e-04  8.20375829e-04  7.63448199e-04  -1.20044789e-01  5.30006942e-02  -1.08990584e-01  5.38433840e-02  -1.08773345e-01  5.36255607e-02  -3.07013856e-02  -1.00210200e-02  -2.77163001e-02  -4.28706021e-03  -2.71605271e-02  -5.18072176e-03  
    7.10000000e-01  -2.99777468e-02  6.15640457e-03  1.49339767e-03  7.61235638e-04  5.54160288e-04  8.06948148e-04  -1.19463704e-01  5.33184774e-02  -1.08509321e-01  5.41076840e-02  -1.08325404e-01  5.39180257e-02  -3.06137026e-02  -9.21029384e-03  -2.75420430e-02  -3.52962231e-03  -2.69239503e-02  -4.38457375e-03  
    7.15000000e-01  -3.00994820e-02  6.22636353e-03  1.18335015e-03  8.11418487e-04  2.89719910e-04  8.50997579e-04  -1.18891674e-01  5.35819468e-02  -1.08036527e-01  5.43219379e-02  -1.07885838e-01  5.41616110e-02  -3.04934997e-02  -8.43588935e-03  -2.73563625e-02  -2.83841540e-03  -2.66778601e-02  -3.65121896e-03  
    7.20000000e-01  -3.02143675e-02  6.29415367e-03  8.77727611e-04  8.61926954e-04  2.85974963e-05  8.95592607e-04  -1.18309929e-01  5.38080396e-02  -1.07565827e-01  5.44948522e-02  -1.07448823e-01  5.43653544e-02  -3.03457157e-02  -7.66888404e-03  -2.71659526e-02  -2.17140588e-03  -2.64280915e-02  -2.93543407e-03  
    7.25000000e-01  -3.03222421e-02  6.36021546e-03  5.77525775e-04  9.12663603e-04  -2.28305369e-04  9.40678563e-04  -1.17706469e-01  5.39965359e-02  -1.07065491e-01  5.46299374e-02  -1.06982139e-01  5.45338112e-02  -3.01444906e-02  -6.87973952e-03  -2.69516129e-02  -1.49548803e-03  -2.61545182e-02  -2.20934507e-03  
    7.30000000e-01  -3.04229799e-02  6.42464678e-03  2.81452257e-04  9.62933053e-04  -4.82114250e-04  9.85674992e-04  -1.17082532e-01  5.41462132e-02  -1.06544286e-01  5.47149648e-02  -1.06494080e-01  5.46540278e-02  -2.98658378e-02  -6.06119142e-03  -2.66811195e-02  -7.81311934e-04  -2.58267937e-02  -1.44178932e-03  
    7.35000000e-01  -3.05162780e-02  6.48732806e-03  -1.19405652e-05  1.01151917e-03  -7.34089164e-04  1.02949667e-03  -1.16435651e-01  5.42294251e-02  -1.05999052e-01  5.47335201e-02  -1.05982081e-01  5.47100436e-02  -2.95020849e-02  -5.22353022e-03  -2.63134506e-02  -2.20242764e-05  -2.54038826e-02  -6.27957689e-04  
