# dummy 1 etamax= 1 xmax= 512 ymax= 512 deta= 0 dx= 0.0664062 dy= 0.066406
0 -17 -17 0 1.0 0.0 0 0 0 0 0 0 0 0 0 0 0 0
0 -17 -16.9336 0 1.0 0.0 0 0 0 0 0 0 0 0 0 0 0 0
0 -17 -16.8672 0 1.0 0.0 0 0 0 0 0 0 0 0 0 0 0 0
0 -17 -16.8008 0 1.0 0.0 0 0 0 0 0 0 0 0 0 0 0 0
0 -17 -16.7344 0 1.0 0.0 0 0 0 0 0 0 0 0 0 0 0 0
0 -17 -16.668 0 1.0 0.0 0 0 0 0 0 0 0 0 0 0 0 0
0 -17 -16.6016 0 1.0 0.0 0 0 0 0 0 0 0 0 0 0 0 0
0 -17 -16.5352 0 1.0 0.0 0 0 0 0 0 0 0 0 0 0 0 0
0 -17 -16.4688 0 1.0 0.0 0 0 0 0 0 0 0 0 0 0 0 0
0 -17 -16.4023 0 1.0 0.0 0 0 0 0 0 0 0 0 0 0 0 0
0 -17 -16.3359 0 1.0 0.0 0 0 0 0 0 0 0 0 0 0 0 0
0 -17 -16.2695 0 1.0 0.0 0 0 0 0 0 0 0 0 0 0 0 0
0 -17 -16.2031 0 1.0 0.0 0 0 0 0 0 0 0 0 0 0 0 0
0 -17 -16.1367 0 1.0 0.0 0 0 0 0 0 0 0 0 0 0 0 0
0 -17 -16.0703 0 1.0 0.0 0 0 0 0 0 0 0 0 0 0 0 0
0 -17 -16.0039 0 1.0 0.0 0 0 0 0 0 0 0 0 0 0 0 0
0 -17 -15.9375 0 1.0 0.0 0 0 0 0 0 0 0 0 0 0 0 0
0 -17 -15.8711 0 1.0 0.0 0 0 0 0 0 0 0 0 0 0 0 0
0 -17 -15.8047 0 1.0 0.0 0 0 0 0 0 0 0 0 0 0 0 0
0 -17 -15.7383 0 1.0 0.0 0 0 0 0 0 0 0 0 0 0 0 0
0 -17 -15.6719 0 1.0 0.0 0 0 0 0 0 0 0 0 0 0 0 0
0 -17 -15.6055 0 1.0 0.0 0 0 0 0 0 0 0 0 0 0 0 0
0 -17 -15.5391 0 1.0 0.0 0 0 0 0 0 0 0 0 0 0 0 0
0 -17 -15.4727 0 1.0 0.0 0 0 0 0 0 0 0 0 0 0 0 0
0 -17 -15.4062 0 1.0 0.0 0 0 0 0 0 0 0 0 0 0 0 0
0 -17 -15.3398 0 1.0 0.0 0 0 0 0 0 0 0 0 0 0 0 0
0 -17 -15.2734 0 1.0 0.0 0 0 0 0 0 0 0 0 0 0 0 0
0 -17 -15.207 0 1.0 0.0 0 0 0 0 0 0 0 0 0 0 0 0
0 -17 -15.1406 0 1.0 0.0 0 0 0 0 0 0 0 0 0 0 0 0
0 -17 -15.0742 0 1.0 0.0 0 0 0 0 0 0 0 0 0 0 0 0
0 -17 -15.0078 0 1.0 0.0 0 0 0 0 0 0 0 0 0 0 0 0
0 -17 -14.9414 0 1.0 0.0 0 0 0 0 0 0 0 0 0 0 0 0
0 -17 -14.875 0 1.0 0.0 0 0 0 0 0 0 0 0 0 0 0 0
0 -17 -14.8086 0 1.0 0.0 0 0 0 0 0 0 0 0 0 0 0 0
0 -17 -14.7422 0 1.0 0.0 0 0 0 0 0 0 0 0 0 0 0 0
0 -17 -14.6758 0 1.0 0.0 0 0 0 0 0 0 0 0 0 0 0 0
0 -17 -14.6094 0 1.0 0.0 0 0 0 0 0 0 0 0 0 0 0 0
0 -17 -14.543 0 1.0 0.0 0 0 0 0 0 0 0 0 0 0 0 0
0 -17 -14.4766 0 1.0 0.0 0 0 0 0 0 0 0 0 0 0 0 0
0 -17 -14.4102 0 1.0 0.0 0 0 0 0 0 0 0 0 0 0 0 0
0 -17 -14.3438 0 1.0 0.0 0 0 0 0 0 0 0 0 0 0 0 0
0 -17 -14.2773 0 1.0 0.0 0 0 0 0 0 0 0 0 0 0 0 0
0 -17 -14.2109 0 1.0 0.0 0 0 0 0 0 0 0 0 0 0 0 0
